miRNA	DOID	Disease	Expression	Method	Description	target	tarbase	Years	PMID	Causal
hsa-miR-99b	3191	nemaline myopathy (NM)	up-regulated	microarray	Commonly dysregulated miRNA in five or more types of muscular disorders.	unknown	unknown	2007	17942673	Unspecified
hsa-miR-99b	10222	polymyositis (PM)	up-regulated	microarray	Commonly dysregulated miRNA in five or more types of muscular disorders.	unknown	unknown	2007	17942673	Unspecified
hsa-miR-99b	10286	prostate cancer	up-regulated	microarray	One of the upregulated microRNAs in tumors with perineural invasion (FDR 10%).	unknown	unknown	2008	18459106	Unspecified
hsa-miR-99b	9088	psoriasis	down-regulated	microarray	Showing more than 1.7-fold change between psoriasis and healthy skin.	unknown	unknown	2007	17622355	Unspecified
hsa-miR-106b	5517	gastric cancer (stomach cancer)	up-regulated	"Northern blot, qRT-PCR etc"	"miR-106b-25 cluster, upregulated in a subset of human gastric tumors, is activated by E2F1 in parallel with its host gene, Mcm7. In turn, miR-106b and miR-93 regulate E2F1 expression, establishing a miRNA-directed negative feedback loop. Furthermore, upregulation of these miRNAs impairs the TGFbeta tumor suppressor pathway, interfering with the expression of CDKN1A (p21(Waf1/Cip1)) and BCL2L11 (Bim). "	E2F1	unknown	2008	18328430	Causal
hsa-miR-106b	10652	Alzheimer's disease	down-regulated	microarray	Significantly changed miRNAs in cortex of sporadic AD cases.	unknown	unknown	2008	18434550	Unspecified
hsa-miR-106b	1208	autism spectrum disorder (ASD)	down-regulated	microarray	one of wenty-eight miRNAs was expressed at significantly different levels compared to the non-autism control set in at least one of the autism samples.	unknown	unknown	2008	18563458	Unspecified
hsa-miR-106b	2144	ovarian cancer (OC)	down-regulated	microarray	Differentially expressed miRNA in ovarian cancer tissues and cell lines.	unknown	unknown	2008	18560586	Unspecified
hsa-miR-106b	5419	schizophrenia	up-regulated	microarray	Differentially expressed miRNA from the prefrontal cortex of subjects with schizophrenia compared to psychiatrically healthy subjects.	unknown	unknown	2007	17326821	Unspecified
hsa-miR-106b-1	684	hepatocellular carcinoma (HCC)	up-regulated	microarray	Differentially Regulated miR in HCCs.	unknown	unknown	2006	16924677	Unspecified
hsa-miR-107	1107	esophageal cancer	up-regulated	"Northern blot, qRT-PCR etc"	"miR-103/107 showed a strong correlation between low expression levels and a high overall and disease-free survival periods for esophageal cancer patients by univariate analysis, as well as by multivariate analysis."	unknown	unknown	2008	18172293	Unspecified
hsa-miR-107	10652	Alzheimer's disease	down-regulated	"Northern blot, qRT-PCR etc"	"The coordinated application of miRNA profiling, Affymetrix microarrays, new bioinformatics predictions, in situ hybridization, and biochemical validation indicate that miR-107 may be involved in accelerated disease progression through regulation of BACE1."	BACE1	unknown	2008	18234899	Causal
hsa-miR-107	11984	cardiac hypertrophy	up-regulated	"Northern blot, qRT-PCR etc"	Change during the latter stage of hypertrophy (14 days post-TAC).	unknown	unknown	2008	17234972	Unspecified
hsa-miR-107	1985	colorectal cancer	up-regulated	microarray	commonly up-regulated microRNA in 3 or more types of solid cancers	unknown	unknown	2006	16461460	Unspecified
hsa-miR-107	1985	colorectal cancer	down-regulated	"Northern blot, qRT-PCR etc"	The expression levels of miRNA is affected by wtp53. Down-regulation of wt-p53 via siRNA abolishes the effect of wt-p53 in regulating miRNAs in HCT-116 (wt-p53) cells.	unknown	unknown	2006	16609010	Unspecified
hsa-miR-107	5517	gastric cancer (stomach cancer)	up-regulated	microarray	commonly up-regulated microRNA in 3 or more types of solid cancers	unknown	unknown	2006	16461460	Unspecified
hsa-miR-107	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	unknown	2008	18379589	Unspecified
hsa-miR-107	8894	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	miRNAs frequently down-regulated in OSCC cell lines(<0.5-fold expression).	unknown	unknown	2008	18381414	Unspecified
hsa-miR-107	4905	pancreatic cancer	up-regulated	microarray	commonly up-regulated microRNA in 3 or more types of solid cancers	unknown	unknown	2006	16461460	Unspecified
hsa-miR-107	4905	pancreatic cancer	up-regulated	"Northern blot, qRT-PCR etc"	"the expression of miR-103 and miR-107, associated with lack of expression of miR-155, discriminates tumors from normal."	unknown	unknown	2006	16966691	Unspecified
hsa-miR-107	4905	pancreatic cancer	up-regulated	"Northern blot, qRT-PCR etc"	Aberrantly expressed miRNA precursors in pancreatic adenocarcinoma.PAM testing was conducted on 10 tumor samples and 15 adjacent benign samples. PAM has correctly classified 100% of the tested tumor samples and 11 of 15 of the tested benign samples. The 20 top ranked differentially expressed miRNAs in pancreatic adenocarcinoma as selected by PAM.	unknown	unknown	2006	17149698	Unspecified
hsa-miR-107	4905	pancreatic cancer	up-regulated	microarray	Differentially Expressed MicroRNA in pancreatic cancer compared to Normal Pancreas.	unknown	unknown	2007	17473300	Unspecified
hsa-miR-10a	11984	cardiac hypertrophy	down-regulated	"Northern blot, qRT-PCR etc"	Change during the latter stage of hypertrophy (14 days post-TAC).	unknown	HOXA1	2008	17234972	Unspecified
hsa-miR-10a	1985	colorectal cancer	up-regulated	"Northern blot, qRT-PCR etc"	miRNA precursors with significantly different expression.	unknown	HOXA1	2005	16192569	Unspecified
hsa-miR-10a	1985	colorectal cancer	down-regulated	"Northern blot, qRT-PCR etc"	The expression levels of miRNA is affected by wtp53. Down-regulation of wt-p53 via siRNA abolishes the effect of wt-p53 in regulating miRNAs in HCT-116 (wt-p53) cells.	unknown	HOXA1	2006	16609010	Unspecified
hsa-miR-10a	353	diffuse large B-cell lymphoma (DLBCL)	down-regulated	microarray	"Four hsa-miR-As (miR-210, hsa-miR-155, hsa-miR-106a, hsa-miR-17-5p) were expressed at a significantly higher level in DLBCL than in normal tissue. In contrast, the remaining 11 miRNAs (hsa-miR-150, hsa-miR-145, hsa-miR-328, hsa-miR-139, hsa-miR-99a, hsa-miR-10a, hsa-miR-95, hsa-miR-149, hsa-miR-320, hsa-miR-151,let-7e) were expressed at a significantly lower level in DLBCL."	unknown	HOXA1	2008	18537969	Unspecified
hsa-miR-10a	8894	Oral Squamous Cell Carcinoma (OSCC)	up-regulated	microarray	miRNAs frequently up-regulated in OSCC cell lines(>1.5-fold expression).	unknown	HOXA1	2008	18381414	Unspecified
hsa-miR-10a	4905	pancreatic cancer	up-regulated	microarray	Differentially Expressed MicroRNA in pancreatic cancer compared to Normal Pancreas.	unknown	HOXA1	2007	17473300	Unspecified
hsa-miR-10a	10286	prostate cancer	up-regulated	microarray	One of the upregulated microRNAs in tumors with perineural invasion (FDR 10%).	unknown	HOXA1	2008	18459106	Unspecified
hsa-miR-10a	9088	psoriasis	down-regulated	microarray	Showing more than 1.7-fold change between psoriasis and healthy skin.	unknown	HOXA1	2007	17622355	Unspecified
hsa-miR-10a	13223	uterine leiomyoma (ULM)	down-regulated	microarray	Twenty most differentially expressed microRNA species in leiomyoma versus myometrium microarray.	unknown	HOXA1	2008	17765232	Unspecified
hsa-miR-10b	3459	breast cancer	up-regulated	"Northern blot, qRT-PCR etc"	"miR-10b is highly expressed in metastatic breast cancer cells and positively regulates cell migration and invasion. The miR-10b induced by Twist proceeds to inhibit translation of the messenger RNA encoding homeobox D10, resulting in increased expression of a well-characterized pro-metastatic gene, RHOC."	HOXD10	unknown	2007	17898713	Causal
hsa-miR-10b	1040	B-cell chronic lymphocytic leukemia	up-regulated	microarray	Differentially expressed in CLL cells versus CD6 cells.	unknown	unknown	2004	15284443	Unspecified
hsa-miR-10b	3459	breast cancer	down-regulated	microarray	Differentially expressed between breast carcinoma and normal breast tissue.	unknown	unknown	2005	16103053	Unspecified
hsa-miR-10b	11984	cardiac hypertrophy	down-regulated	"Northern blot, qRT-PCR etc"	Change during the latter stage of hypertrophy (14 days post-TAC).	unknown	unknown	2008	17234972	Unspecified
hsa-miR-10b	13315	chronic pancreatitis	up-regulated	microarray	Differentially Expressed MicroRNA in Chronic Pancreatitis compared to Normal Pancreas	unknown	unknown	2007	17473300	Unspecified
hsa-miR-10b	3068	glioblastoma	up-regulated	microarray	Significantly differentially expressed between glioblastoma cell line samples and the control samples.	unknown	unknown	2005	16039986	Unspecified
hsa-miR-10b	2144	ovarian cancer (OC)	up-regulated	microarray	Differentially expressed miRNA in ovarian cancer tissues and cell lines.	unknown	unknown	2008	18560586	Unspecified
hsa-miR-10b	4905	pancreatic cancer	up-regulated	microarray	Differentially Expressed MicroRNA in pancreatic cancer compared to Normal Pancreas.	unknown	unknown	2007	17473300	Unspecified
hsa-miR-10b	10286	prostate cancer	up-regulated	"Northern blot, qRT-PCR etc"	One of the upregulated microRNAs in tumors with perineural invasion (FDR 10%).	unknown	unknown	2008	18459106	Unspecified
hsa-miR-10b	5745	serous ovarian cancer	down-regulated	microarray	Differentially expressed miRNAs with>2-fold change in tumor versus normal ovarian tissues in at least 12 of 20 ovarian cancer patients.	unknown	unknown	2008	18451233	Unspecified
hsa-miR-1-2	684	hepatocellular carcinoma (HCC)	down-regulated	"Northern blot, qRT-PCR etc"	survival-related and metastasis-related miRNA.	unknown	unknown	2008	18176954	Unspecified
hsa-miR-1-2	3978	cardiomyopathy	down-regulated	"Northern blot, qRT-PCR etc"	"miR-1-2 regulates cardiac morphogenesis, cardiac conduction, and the cardiac cell cycle."	"Irx5, Hand2, Kcnd2"	unknown	2007	17397913	Causal
hsa-miR-122a	684	hepatocellular carcinoma (HCC)	down-regulated	"Northern blot, qRT-PCR etc"	survival-related and metastasis-related miRNA.	unknown	unknown	2008	18176954	Unspecified
hsa-miR-122a	7324	HCV infection	up-regulated	"Northern blot, qRT-PCR etc"	miR-122 is specifically expressed and highly abundant in the human liver. the sequestration of miR-122 in liver cells results in marked loss of autonomously replicating hepatitis C viral RNAs.	unknown	unknown	2005	16141076	Causal
hsa-miR-122a	684	hepatocellular carcinoma (HCC)	down-regulated	"Northern blot, qRT-PCR etc"	Hepato-specific miR-122a was found downregulated in 70% of HCCs and in all HCC-derived cell lines.miR-122a can modulate cyclin G1 expression in HCC-derived cell lines and an inverse correlation between miR-122a and cyclin G1 expression exists in primary liver carcinomas	CCNG1	unknown	2007	17616664	Causal
hsa-miR-122a	14667	metabolic disease	down-regulated	"Northern blot, qRT-PCR etc"	"miR-122 inhibition in normal mice resulted in reduced plasma cholesterol levels, increased hepatic fatty-acid oxidation, and a decrease in hepatic fatty-acid and cholesterol synthesis rates. Activation of the central metabolic sensor AMPK was also increased. miR-122 inhibition in a diet-induced obesity mouse model resulted in decreased plasma cholesterol levels and a significant improvement in liver steatosis, accompanied by reductions in several lipogenic genes."	AMPK	unknown	2006	16459310	Causal
hsa-miR-122a	3459	breast cancer	up-regulated	microarray	Differentially expressed between breast carcinoma and normal breast tissue.	unknown	unknown	2005	16103053	Unspecified
hsa-miR-122a	5520	head and neck squamous cell carcinoma (HNSCC)	down-regulated	microarray	Differentially expressed following hypoxia in SCC cells.	unknown	unknown	2007	17222355	Unspecified
hsa-miR-122a	684	hepatocellular carcinoma (HCC)	up-regulated	"Northern blot, qRT-PCR etc"	miRNA precursors with significantly different expression.	unknown	unknown	2005	16192569	Unspecified
hsa-miR-122a	684	hepatocellular carcinoma (HCC)	down-regulated	"Northern blot, qRT-PCR etc"	miR-122 is an abundant liver-specific miR. miR-122 expressionwas significantly (P=0.013) reduced in 10 out of 20 tumors compared to the pair-matched control tissues.	unknown	unknown	2006	16924677	Unspecified
hsa-miR-122a	684	hepatocellular carcinoma (HCC)	down-regulated	microarray	"Distinct up-regulations of miR-222, miR-221, and miR-31, and down-regulations of miR-223, miR-126, and miR-122a were identified. Further investigations suggested the highly deregulated miR-223 and miR-222 could unequivocally distinguish HCC from adjacent nontumoral liver, irrespective of viral associations (P<=.0002)."	unknown	unknown	2008	18555017	Unspecified
hsa-miR-122a	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	unknown	2008	18379589	Unspecified
hsa-miR-122a	9088	psoriasis	down-regulated	microarray	Showing more than 1.7-fold change between psoriasis and healthy skin.	unknown	unknown	2007	17622355	Unspecified
hsa-miR-123	1040	B-cell chronic lymphocytic leukemia	up-regulated	microarray	Differentially expressed in CLL cells versus CD7 cells.	unknown	unknown	2004	15284443	Unspecified
hsa-miR-123	3068	glioblastoma	up-regulated	microarray	Significantly differentially expressed between glioblastoma cell line samples and the control samples.	unknown	unknown	2005	16039986	Unspecified
hsa-miR-123	684	hepatocellular carcinoma (HCC)	down-regulated	microarray	Differentially Regulated miR in HCCs.	unknown	unknown	2006	16924677	Unspecified
hsa-miR-124a	3459	breast cancer	down-regulated	"Northern blot, qRT-PCR etc"	miR-124a undergoes transcriptional inactivation by CpG island hypermethylation. miR-124a epigenetic silencing mediates cyclin D kinase 6(CDK6)activation and retinoblastoma (Rb) phosphorylation.	CDK6	unknown	2007	17308079	Causal
hsa-miR-124a	-1	cancer	down-regulated	"Northern blot, qRT-PCR etc"	"Be methylated in tumor cells.The epigenetic silencing of miR-124a leads to the activation of cyclin D kinase 6 (CDK6), a bona fide oncogenic factor, and the phosphorylation of the retinoblastoma (Rb) tumor suppressor gene."	CDK6	unknown	2007	17581274	Causal
hsa-miR-124a	1040	chronic lymphocytic leukemia (CLL)	down-regulated	"Northern blot, qRT-PCR etc"	miR-124a undergoes transcriptional inactivation by CpG island hypermethylation. miR-124a epigenetic silencing mediates cyclin D kinase 6(CDK6)activation and retinoblastoma (Rb) phosphorylation.	CDK6	unknown	2007	17308079	Causal
hsa-miR-124a	1985	colorectal cancer	down-regulated	"Northern blot, qRT-PCR etc"	miR-124a undergoes transcriptional inactivation by CpG island hypermethylation. miR-124a epigenetic silencing mediates cyclin D kinase 6(CDK6)activation and retinoblastoma (Rb) phosphorylation.	CDK6	unknown	2007	17308079	Causal
hsa-miR-124a	3073	glioblastoma multiforme (GBM)	down-regulated	"Northern blot, qRT-PCR etc"	"microRNA-124 and microRNA-137 induce differentiation of adult mouse neural stem cells, mouse oligodendroglioma-derived stem cells and human glioblastoma multiformederived stem cells and induce glioblastoma multiforme cell cycle arrest. These results suggest that targeted delivery of microRNA-124 and/or microRNA-137 to glioblastoma multiforme tumor cells may be therapeutically efficacious for the treatment of this disease.miR-124 and miR-137 inhibit CDK6 expression and phosphorylated retinoblastoma levels in GBM cells."	CDK6	unknown	2008	18577219	Causal
hsa-miR-124a	3905	lung cancer	down-regulated	"Northern blot, qRT-PCR etc"	miR-124a undergoes transcriptional inactivation by CpG island hypermethylation. miR-124a epigenetic silencing mediates cyclin D kinase 6(CDK6)activation and retinoblastoma (Rb) phosphorylation.	CDK6	unknown	2007	17308079	Causal
hsa-miR-124a	3858	medulloblastoma	down-regulated	"Northern blot, qRT-PCR etc"	"We identified putative miR sites in the CDK6 including microRNA 124a, a brain enriched microRNA. Expression of miR 124a was significantly decreased in medulloblastoma cells compared to normal adult cerebellum. Functional association between miR 124a and CDK6 in medulloblastoma was established using luciferase assays. Additionally, re-expression of miR 124a in medulloblastoma cells decreased expression of CDK6 protein. Transfection of miR 124 significantly decreases medulloblastoma cell growth but does not alter apoptosis. Furthermore, in patient samples expression of miR 124a is significantly decreased. Our data strongly indicate that CDK6 is regulated by microRNA 124 in medulloblastoma and that miR 124 modulates medulloblastoma cell growth."					
	CDK6	unknown	2008	18607543	Causal	1	694			
hsa-miR-126	684	hepatocellular carcinoma (HCC)	down-regulated	microarray	"Distinct up-regulations of miR-222, miR-221, and miR-31, and down-regulations of miR-223, miR-126, and miR-122a were identified. Further investigations suggested the highly deregulated miR-223 and miR-222 could unequivocally distinguish HCC from adjacent nontumoral liver, irrespective of viral associations (P<=.0002)."	unknown	unknown	2008	18555017	Unspecified
hsa-miR-126	3905	lung cancer	down-regulated	microarray	One of the forty-three miRNAs differentially expressed in lung cancer tissues versus noncancerous lung tissues.	unknown	unknown	2006	16530703	Unspecified
hsa-miR-126	8894	Oral Squamous Cell Carcinoma (OSCC)	up-regulated	microarray	miRNAs frequently up-regulated in OSCC cell lines(>1.5-fold expression).	unknown	unknown	2008	18381414	Unspecified
hsa-miR-126	10286	prostate cancer	up-regulated	microarray	One of the upregulated microRNAs in tumors with perineural invasion (FDR 10%).	unknown	unknown	2008	18459106	Unspecified
hsa-miR-126*	10286	prostate cancer	down-regulated	"Northern blot, qRT-PCR etc"	Prostein was a specific target of ectopic miR-126*.Transfection of synthetic miR-126* into prostate cancer LNCaP cells strongly reduced the translation of prostein. Loss of prostein correlated with reduction of LNCaP cell migration and invasion.	prostein	unknown	2007	18193184	Causal
hsa-miR-126*	684	hepatocellular carcinoma (HCC)	down-regulated	microarray	"Our study identified and validated miR-224 overexpression.Moreover, miR-96 was overexpressed in HBV tumors, and miR-126* was down-regulated in alcohol-related hepatocellular carcinoma."	unknown	unknown	2008	18433021	Unspecified
hsa-miR-126*	3905	lung cancer	down-regulated	"Northern blot, qRT-PCR etc"	One of the forty-three miRNAs differentially expressed in lung cancer tissues versus noncancerous lung tissues.	unknown	unknown	2006	16530703	Unspecified
hsa-miR-126-5p	11984	cardiac hypertrophy	down-regulated	"Northern blot, qRT-PCR etc"	Confirmation of the Aberrant miRNA Expression in Hypertrophic Hearts by Northern Blot Analysis and/or qRT-PCR.	unknown	unknown	2007	17525252	Unspecified
hsa-miR-127	4007	bladder cancer	down-regulated	"Northern blot, qRT-PCR etc"	"miR-127 is usually expressed as part of a miRNA cluster in normal cells but not in cancer cells, suggesting that it is subject to epigenetic silencing. In addition, the proto-oncogene BCL6, a potential target of miR-127, was translationally downregulated. These results suggest that DNA demethylation and histone deacetylase inhibition can activate expression of miRNAs that may act as tumor suppressors."	BCL6	"BCL6,Rtl1/Peg11"	2006	16766263	Causal
hsa-miR-127	3459	breast cancer	down-regulated	"Northern blot, qRT-PCR etc"	"miR-127 is usually expressed as part of a miRNA cluster in normal cells but not in cancer cells, suggesting that it is subject to epigenetic silencing. In addition, the proto-oncogene BCL6, a potential target of miR-127, was translationally downregulated. These results suggest that DNA demethylation and histone deacetylase inhibition can activate expression of miRNAs that may act as tumor suppressors."	BCL6	"BCL6,Rtl1/Peg11"	2006	16766263	Causal
hsa-miR-127	-1	cancer	down-regulated	"Northern blot, qRT-PCR etc"	"Be methylated in tumor cells. miR-127 is located on chromosome 14q32, a region that is involved in several types of translocations in hematological malignancies and deleted by LOH in solid tumors."	BCL6	"BCL6,Rtl1/Peg11"	2007	17581274	Causal
hsa-miR-127	1985	colorectal cancer	down-regulated	"Northern blot, qRT-PCR etc"	"miR-127 is usually expressed as part of a miRNA cluster in normal cells but not in cancer cells, suggesting that it is subject to epigenetic silencing. In addition, the proto-oncogene BCL6, a potential target of miR-127, was translationally downregulated. These results suggest that DNA demethylation and histone deacetylase inhibition can activate expression of miRNAs that may act as tumor suppressors."	BCL6	"BCL6,Rtl1/Peg11"	2006	16766263	Causal
hsa-miR-127	10286	prostate cancer	down-regulated	"Northern blot, qRT-PCR etc"	"miR-127, is embedded in a CpG island and is highly induced from its own promoter after treatment. miR-127 is usually expressed as part of a miRNA cluster in normal cells but not in cancer cells, suggesting that it is subject to epigenetic silencing.In addition, the proto-oncogene BCL6, a potential target of miR-127, was translationally downregulated after treatment."	BCL6	"BCL6,Rtl1/Peg11"	2006	16766263	Causal
hsa-miR-127	11984	cardiac hypertrophy	up-regulated	"Northern blot, qRT-PCR etc"	Change correlative with the increase in heart/body weight(7-14 days post-TAC).	unknown	"BCL6,Rtl1/Peg11"	2008	17234972	Unspecified
hsa-miR-127	14691	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	Commonly dysregulated miRNA in five or more types of muscular disorders.	unknown	"BCL6,Rtl1/Peg11"	2007	17942673	Unspecified
hsa-miR-127	4001	epithelial ovarian cancer (EOC)	down-regulated	microarray	Differentially expressed between tumors and normals.	unknown	"BCL6,Rtl1/Peg11"	2007	17875710	Unspecified
hsa-miR-127	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	"BCL6,Rtl1/Peg11"	2008	18379589	Unspecified
hsa-miR-127	3191	nemaline myopathy (NM)	up-regulated	microarray	Commonly dysregulated miRNA in five or more types of muscular disorders.	unknown	"BCL6,Rtl1/Peg11"	2007	17942673	Unspecified
hsa-miR-127	10222	polymyositis (PM)	up-regulated	microarray	Commonly dysregulated miRNA in five or more types of muscular disorders.	unknown	"BCL6,Rtl1/Peg11"	2007	17942673	Unspecified
hsa-miR-128a	9952	acute lymphoblastic leukemia (ALL)	up-regulated	"Northern blot, qRT-PCR etc"	"miR-128a and -128b are significantly overexpressed, whereas let-7b and miR-223 are significantly downregulated in ALL compared with AML. They are the most discriminatory miRNAs between ALL and AML. Using the expression signatures of a minimum of two of these miRNAs resulted in an accuracy rate of >95% in the diagnosis of ALL and AML."	unknown	unknown	2007	18056805	Unspecified
hsa-miR-128a	9119	acute myeloid leukemia (AML)	down-regulated	"Northern blot, qRT-PCR etc"	"miR-128a and -128b are significantly overexpressed, whereas let-7b and miR-223 are significantly downregulated in ALL compared with AML. They are the most discriminatory miRNAs between ALL and AML. Using the expression signatures of a minimum of two of these miRNAs resulted in an accuracy rate of >95% in the diagnosis of ALL and AML."	unknown	unknown	2007	18056805	Unspecified
hsa-miR-128a	10652	Alzheimer's disease	up-regulated	"Northern blot, qRT-PCR etc"	"Significant change in micro-RNA abundance in the hippocampal region of fetal, adult and Alzheimer's disease brain."	unknown	unknown	2007	17314675	Unspecified
hsa-miR-128a	1208	autism spectrum disorder (ASD)	up-regulated	microarray	one oftwenty-eight miRNAs was expressed at significantly different levels compared to the non-autism control set in at least one of the autism samples.	unknown	unknown	2008	18563458	Unspecified
hsa-miR-128a	3068	glioblastoma	down-regulated	"Northern blot, qRT-PCR etc"	"The strong down-regulation of miR-128 and miR-181 family might indicate some non-random correlation with the de-differentiated state of tumor cells, or even with their stem-like nature, in some way resembling early embryonic stages."	unknown	unknown	2005	16039986	Unspecified
hsa-miR-128a	3073	glioblastoma multiforme (GBM)	down-regulated	"Northern blot, qRT-PCR etc"	Differentially expressed microRNA in glioblastoma multiforme tumors relative to non-neoplastic brain tissue.	unknown	unknown	2008	18577219	Unspecified
hsa-miR-128a	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	unknown	2008	18379589	Unspecified
hsa-miR-128a	8894	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	miRNAs frequently down-regulated in OSCC cell lines(<0.5-fold expression).	unknown	unknown	2008	18381414	Unspecified
hsa-miR-128a	3829	pituitary adenoma	down-regulated	microarray	Differentially expressed between neoplastic conditions (CRC cell lines and tumor samples) and non-tumoral colon tissues.	unknown	unknown	2007	17111382	Unspecified
hsa-miR-128b	3905	lung cancer	down-regulated	"Northern blot, qRT-PCR etc"	miR-128b directly regulates EGFR. miR-128b LOH was frequent in tumor samples and correlated significantly with clinical response and survival following gefitinib. EGFR expression and mutation status did not correlate with survival outcome.	EGFR	unknown	2008	18304967	Causal
hsa-miR-128b	9952	acute lymphoblastic leukemia (ALL)	up-regulated	"Northern blot, qRT-PCR etc"	"miR-128a and -128b are significantly overexpressed, whereas let-7b and miR-223 are significantly downregulated in ALL compared with AML. They are the most discriminatory miRNAs between ALL and AML. Using the expression signatures of a minimum of two of these miRNAs resulted in an accuracy rate of >95% in the diagnosis of ALL and AML."	unknown	unknown	2007	18056805	Unspecified
hsa-miR-128b	9119	acute myeloid leukemia (AML)	down-regulated	"Northern blot, qRT-PCR etc"	"miR-128a and -128b are significantly overexpressed, whereas let-7b and miR-223 are significantly downregulated in ALL compared with AML. They are the most discriminatory miRNAs between ALL and AML. Using the expression signatures of a minimum of two of these miRNAs resulted in an accuracy rate of >95% in the diagnosis of ALL and AML."	unknown	unknown	2007	18056805	Unspecified
hsa-miR-128b	3459	breast cancer	up-regulated	microarray	miRNAs differentially expressed between breast carcinoma and normal breast tissue.	unknown	unknown	2005	16103053	Unspecified
hsa-miR-128b	13315	chronic pancreatitis	up-regulated	microarray	Differentially Expressed MicroRNA in Chronic Pancreatitis compared to Normal Pancreas	unknown	unknown	2007	17473300	Unspecified
hsa-miR-128b	1985	colorectal cancer	up-regulated	microarray	commonly up-regulated microRNA in 3 or more types of solid cancers	unknown	unknown	2006	16461460	Unspecified
hsa-miR-128b	3905	lung cancer	up-regulated	microarray	commonly up-regulated microRNA in 3 or more types of solid cancers	unknown	unknown	2006	16461460	Unspecified
hsa-miR-128b	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	unknown	2008	18379589	Unspecified
hsa-miR-128b	4905	pancreatic cancer	up-regulated	microarray	commonly up-regulated microRNA in 3 or more types of solid cancers	unknown	unknown	2006	16461460	Unspecified
hsa-miR-129	1208	autism spectrum disorder (ASD)	up-regulated	microarray	one of wenty-eight miRNAs was expressed at significantly different levels compared to the non-autism control set in at least one of the autism samples.	unknown	unknown	2008	18563458	Unspecified
hsa-miR-129	1985	colorectal cancer	down-regulated	"Northern blot, qRT-PCR etc"	Differentially expressed between neoplastic conditions (CRC cell lines and tumor samples) and non-tumoral colon tissues.	unknown	unknown	2006	16854228	Unspecified
hsa-miR-129	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	unknown	2008	18379589	Unspecified
hsa-miR-129	2144	ovarian cancer (OC)	up-regulated	microarray	Differentially expressed miRNA in ovarian cancer tissues and cell lines.	unknown	unknown	2008	18560586	Unspecified
hsa-miR-129	12236	primary biliary cirrhosis (PBC)	up-regulated	"Northern blot, qRT-PCR etc"	Twenty-three miRNAs in the array were found to be lowly expressed and 2 showed high levels of expression in the peripheral blood of PBC patients. 	unknown	unknown	2008	18631158	Unspecified
hsa-miR-130a	9952	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	"Six (i.e., miR-128a,miR-128b, miR-151*, miR-5, miR-130b, and miR-210) were expressed at a significantly higher level in ALL than in AML. In contrast, the remaining 21 (i.e., let-7b, miR-223, let-7e, miR-125a, miR-130a, miR-221, miR-222, miR-23a, miR-23b, miR-24, miR-27a, miR-27b, let-7a,let-7c, miR-199b, miR-26a, miR-335, miR-21,miR-22, miR-424, and miR-451) were expressed at a significantly higher level in AML compared with ALL."	unknown	unknown	2007	18056805	Unspecified
hsa-miR-130a	9119	acute myeloid leukemia (AML)	up-regulated	microarray	"Six (i.e., miR-128a,miR-128b, miR-151*, miR-5, miR-130b, and miR-210) were expressed at a significantly higher level in ALL than in AML. In contrast, the remaining 21 (i.e., let-7b, miR-223, let-7e, miR-125a, miR-130a, miR-221, miR-222, miR-23a, miR-23b, miR-24, miR-27a, miR-27b, let-7a,let-7c, miR-199b, miR-26a, miR-335, miR-21,miR-22, miR-424, and miR-451) were expressed at a significantly higher level in AML compared with ALL."	unknown	unknown	2007	18056805	Unspecified
hsa-miR-130a	10223	dermatomyositis (DM)	up-regulated	microarray	Commonly dysregulated miRNA in five or more types of muscular disorders.	unknown	unknown	2007	17942673	Unspecified
hsa-miR-130a	14691	Duchenne muscular dystrophy (DMD)	up-regulated	"Northern blot, qRT-PCR etc"	Commonly dysregulated miRNA in five or more types of muscular disorders.	unknown	unknown	2007	17942673	Unspecified
hsa-miR-130a	3068	glioblastoma	up-regulated	microarray	Significantly differentially expressed between glioblastoma cell line samples and the control samples.	unknown	unknown	2005	16039986	Unspecified
